2016 Volkswagen Jetta SE,"Location: Oakland, CA (9 miles from San Francisco, CA)","35,717",White,Sedan
2016 Mercedes-Benz GLC 300,"Location: San Francisco, CA","35,654",White,SUV
2015 Ford Edge SEL,"Price: $20,592$341/mo est.","41,390",Black,SUV
2015 Volkswagen Tiguan SEL,"Location: San Francisco, CA","42,049",Black,SUV
2014 Kia Forte EX,"Location: San Ramon, CA (24 miles from San Francisco, CA)","43,139",Blue,Sedan
2014 Volkswagen Jetta,Dealer: Volkswagen of Oakland,"34,491",Black,Wagon
2016 Honda Accord EXL,"Price: $19,300$320/mo est.","36,565",Red,Coupe
2014 Volkswagen Tiguan SEL,"Price: $11,995$199/mo est.","81,811",Black,SUV
2016 Cadillac ATS Standard,"Price: $14,998$249/mo est.","75,040",Silver,Sedan
2016 Ford Mustang,"Price: $17,992$298/mo est.","27,741",Blue,Coupe
2014 Volkswagen Jetta,Dealer: Volkswagen of Oakland,"24,134",White,Wagon
