2014 Subaru Forester 2.5i,GREAT VALUE,"41,500",Gray,SUV
2006 Ford Mustang GT Premium,GREAT VALUE,"45,000",Gray,Coupe
2016 Toyota Corolla LE,GREAT VALUE,"33,213",White,Sedan
2015 Kia Soul Base,GREAT VALUE,"26,000",Black,Wagon
2010 Ford Fusion,GREAT VALUE,"141,000",Gray,Sedan
2015 Toyota Corolla S,GREAT VALUE,"39,103",Red,Sedan
2016 BMW X4 xDrive35i,GREAT VALUE,"32,542",Beige,SUV
2017 Chevrolet Volt LT,GREAT VALUE,"10,890",White,Sedan
2016 Lexus RX 450h,GREAT VALUE,"36,189",White,SUV
2016 Audi SQ5 Premium Plus,GREAT VALUE,"60,996",Gray,SUV
2015 Mini Cooper S,GREAT VALUE,"20,622",White,Hatchback
2016 Lexus IS 350 F Sport,GREAT VALUE,"39,785",Gray,Sedan
